age,pas,fixgear,tdrag,horse,fuel,ceiling,cruise
20,4,0,0,5.655991810819852,4.31748811353631,9.729193687429404,5.1298987149230735
34,4,0,0,5.655991810819852,4.31748811353631,9.680406499268877,5.272999558563747
20,4,0,0,5.442417710521793,4.532599493153256,9.15915233520675,4.8283137373023015
24,4,0,0,5.739792912179234,4.51085950651685,10.043292972227004,5.236441962829949
26,4,0,0,5.303304908059076,4.174387269895637,9.472781556562168,5.14166355650266
36,2,0,0,5.303304908059076,4.290459441148391,10.085850775128716,5.153291594497779
16,2,0,0,5.707110264748875,4.31748811353631,9.792611856190192,4.983606621708336
22,4,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.8283137373023015
20,2,0,0,5.564520407322694,4.406719247264253,9.792611856190192,4.983606621708336
23,6,1,0,5.564520407322694,4.23410650459726,9.680406499268877,5.093750200806762
31,4,1,0,5.655991810819852,4.31748811353631,9.729193687429404,5.1298987149230735
18,2,0,0,5.351858133476067,4.30406509320417,9.472781556562168,5.153291594497779
21,6,1,0,5.081404364984463,4.060443010546419,9.179984251961285,4.718498871295094
19,4,1,0,5.198497031265826,3.912023005428146,9.39274525863144,4.787491742782046
18,6,1,0,4.709530201312334,3.688879454113936,9.04793908261736,4.68213122712422
17,6,1,0,4.7535901911063645,3.4011973816621555,9.04793908261736,4.584967478670572
19,6,1,0,5.351858133476067,3.6375861597263857,9.48044384215367,4.691347882229144
17,6,1,0,4.7535901911063645,3.4011973816621555,9.04793908261736,4.584967478670572
20,6,1,0,5.351858133476067,3.7612001156935615,9.48044384215367,4.74493212836325
28,6,1,0,5.564520407322694,4.51085950651685,9.61587214452889,5.062595033026967
33,4,0,0,5.303304908059076,4.174387269895637,9.472781556562168,5.14166355650266
28,4,0,0,5.739792912179234,4.51085950651685,10.043292972227004,5.236441962829949
21,2,0,0,5.739792912179234,4.51085950651685,9.741027444837728,5.402677381872279
19,4,0,0,5.442417710521793,4.532599493153256,9.15915233520675,4.8283137373023015
35,2,0,0,5.198497031265826,4.51085950651685,9.61587214452889,4.941642422609304
25,4,0,0,5.707110264748875,4.51085950651685,9.741027444837728,5.14166355650266
19,4,0,0,5.655991810819852,4.31748811353631,9.729193687429404,5.1298987149230735
19,6,1,0,5.707110264748875,4.634728988229636,9.680406499268877,5.017279836814924
37,2,0,0,5.303304908059076,3.9318256327243257,9.546884034617923,4.976733742420574
24,6,0,1,5.564520407322694,4.406719247264253,9.792611856190192,4.983606621708336
18,6,1,0,5.017279836814924,3.9318256327243257,9.15915233520675,4.7535901911063645
20,4,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.836281906951478
19,4,0,0,5.655991810819852,4.31748811353631,9.680406499268877,5.272999558563747
27,4,0,0,5.198497031265826,4.110873864173311,9.39274525863144,4.8283137373023015
14,6,1,0,5.351858133476067,3.7612001156935615,9.48044384215367,4.74493212836325
24,4,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.8283137373023015
22,4,1,0,5.198497031265826,4.060443010546419,9.179984251961285,4.787491742782046
17,4,0,0,5.081404364984463,4.007333185232471,9.39274525863144,4.812184355372417
29,4,0,0,5.442417710521793,4.394449154672439,9.15915233520675,4.836281906951478
17,4,0,0,5.442417710521793,4.442651256490317,9.15915233520675,4.820281565605037
36,4,0,0,5.655991810819852,4.31748811353631,9.680406499268877,5.272999558563747
17,6,1,0,5.017279836814924,3.970291913552122,9.39274525863144,4.7535901911063645
22,6,1,0,4.727387818712341,3.4339872044851463,9.04793908261736,4.718498871295094
29,4,0,0,5.303304908059076,4.174387269895637,9.472781556562168,5.14166355650266
23,4,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.8283137373023015
39,2,0,0,5.303304908059076,4.290459441148391,10.085850775128716,5.153291594497779
19,4,1,0,4.727387818712341,3.4339872044851463,9.04793908261736,4.691347882229144
20,6,1,0,5.017279836814924,4.060443010546419,9.179984251961285,4.691347882229144
18,4,1,0,5.198497031265826,3.912023005428146,9.39274525863144,4.77912349311153
13,6,1,0,5.017279836814924,3.912023005428146,9.39274525863144,4.736198448394496
17,2,0,0,5.707110264748875,4.406719247264253,9.792611856190192,4.983606621708336
17,6,1,0,4.7535901911063645,3.4011973816621555,9.04793908261736,4.584967478670572
28,2,0,0,5.198497031265826,4.110873864173311,9.39274525863144,4.875197323201151
19,6,1,0,5.351858133476067,3.7612001156935615,9.48044384215367,4.74493212836325
25,6,1,0,5.564520407322694,4.23410650459726,9.680406499268877,5.062595033026967
32,4,0,0,5.739792912179234,4.51085950651685,10.043292972227004,5.236441962829949
19,2,0,0,5.564520407322694,4.406719247264253,9.792611856190192,4.983606621708336
26,4,1,0,5.198497031265826,4.060443010546419,9.179984251961285,4.787491742782046
20,2,0,0,5.707110264748875,4.51085950651685,9.741027444837728,5.402677381872279
33,6,1,0,5.707110264748875,4.634728988229636,9.680406499268877,5.068904202220232
34,6,0,1,5.303304908059076,4.110873864173311,9.546884034617923,5.003946305945459
20,6,1,0,5.017279836814924,4.060443010546419,9.179984251961285,4.691347882229144
20,4,0,0,5.707110264748875,4.51085950651685,9.741027444837728,5.402677381872279
22,4,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.836281906951478
22,2,0,0,5.739792912179234,4.51085950651685,9.741027444837728,5.402677381872279
21,4,1,0,5.198497031265826,3.912023005428146,9.39274525863144,4.787491742782046
20,6,1,0,5.707110264748875,4.634728988229636,9.680406499268877,5.017279836814924
24,6,1,0,5.564520407322694,4.23410650459726,9.680406499268877,5.093750200806762
18,4,1,0,5.655991810819852,4.31748811353631,9.729193687429404,5.1298987149230735
20,4,1,0,5.017279836814924,3.9318256327243257,9.15915233520675,4.7535901911063645
26,6,0,1,5.707110264748875,4.406719247264253,9.792611856190192,4.990432586778736
20,4,0,0,5.442417710521793,4.442651256490317,9.15915233520675,4.820281565605037
27,4,0,0,5.303304908059076,4.174387269895637,9.472781556562168,5.14166355650266
27,4,1,0,5.707110264748875,4.634728988229636,9.90353755128617,5.111987788356544
27,6,1,0,5.564520407322694,4.51085950651685,9.61587214452889,5.062595033026967
18,2,0,0,5.707110264748875,4.406719247264253,9.792611856190192,4.983606621708336
23,4,1,0,5.111987788356544,4.060443010546419,9.179984251961285,4.787491742782046
19,6,1,0,5.017279836814924,4.060443010546419,9.179984251961285,4.691347882229144
17,6,1,0,5.017279836814924,4.060443010546419,9.179984251961285,4.691347882229144
30,6,0,1,5.707110264748875,4.406719247264253,9.792611856190192,4.990432586778736
20,4,1,0,5.017279836814924,3.970291913552122,9.39274525863144,4.795790545596741
19,4,1,0,5.017279836814924,3.9318256327243257,9.15915233520675,4.7535901911063645
17,4,1,0,5.442417710521793,4.02535169073515,9.15915233520675,4.770684624465665
21,4,0,0,5.564520407322694,4.51085950651685,9.952325334619427,5.293304824724492
44,2,0,0,5.351858133476067,4.30406509320417,9.472781556562168,5.153291594497779
20,2,0,0,5.351858133476067,4.30406509320417,9.472781556562168,5.153291594497779
18,4,1,0,5.017279836814924,3.9318256327243257,9.15915233520675,4.7535901911063645
37,2,0,0,5.303304908059076,4.290459441148391,10.085850775128716,5.153291594497779
40,6,0,1,5.303304908059076,4.110873864173311,9.546884034617923,5.003946305945459
20,4,1,0,5.198497031265826,3.912023005428146,9.39274525863144,4.787491742782046
32,2,0,0,5.198497031265826,4.110873864173311,9.39274525863144,4.875197323201151
19,4,0,0,5.442417710521793,4.442651256490317,9.15915233520675,4.820281565605037
26,4,0,0,5.707110264748875,4.795790545596741,10.12667110305036,5.231108616854587
18,4,0,0,5.442417710521793,4.442651256490317,9.15915233520675,4.820281565605037
17,4,0,0,5.351858133476067,4.343805421853684,10.239995502805316,5.313205979041787
16,6,1,0,5.351858133476067,3.7612001156935615,9.48044384215367,4.74493212836325
24,4,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.836281906951478
30,4,1,0,5.198497031265826,4.060443010546419,9.179984251961285,4.787491742782046
23,4,1,0,5.442417710521793,4.394449154672439,9.15915233520675,4.804021044733257
26,4,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.8283137373023015
19,6,1,0,5.351858133476067,3.6375861597263857,9.48044384215367,4.691347882229144
25,6,1,0,5.564520407322694,4.23410650459726,9.680406499268877,5.093750200806762
32,4,0,0,5.655991810819852,4.31748811353631,9.680406499268877,5.25227342804663
34,4,0,0,5.303304908059076,4.290459441148391,10.085850775128716,5.153291594497779
19,4,1,0,5.017279836814924,3.9318256327243257,9.15915233520675,4.7535901911063645
28,4,0,0,5.442417710521793,4.394449154672439,9.15915233520675,4.836281906951478
15,6,0,1,5.303304908059076,4.110873864173311,9.546884034617923,5.003946305945459
21,4,0,0,5.655991810819852,4.31748811353631,9.729193687429404,5.1298987149230735
36,4,0,0,5.707110264748875,4.634728988229636,9.90353755128617,5.181783550292085
23,6,1,0,5.707110264748875,4.634728988229636,9.680406499268877,5.017279836814924
32,4,0,0,5.303304908059076,4.174387269895637,9.472781556562168,5.14166355650266
22,4,0,0,5.564520407322694,4.875197323201151,9.61587214452889,5.225746673713202
19,2,0,0,5.739792912179234,4.51085950651685,9.741027444837728,5.402677381872279
16,6,1,0,5.017279836814924,3.970291913552122,9.39274525863144,4.7535901911063645
24,4,0,0,5.707110264748875,4.51085950651685,9.741027444837728,5.14166355650266
24,4,1,0,5.198497031265826,4.060443010546419,9.179984251961285,4.787491742782046
33,6,1,0,5.081404364984463,4.007333185232471,9.39274525863144,4.812184355372417
19,6,1,0,4.709530201312334,3.688879454113936,9.04793908261736,4.68213122712422
26,2,0,0,5.351858133476067,4.30406509320417,9.472781556562168,5.153291594497779
18,4,0,0,5.442417710521793,4.532599493153256,9.15915233520675,4.8283137373023015
22,4,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.8283137373023015
17,6,1,0,5.351858133476067,3.7612001156935615,9.48044384215367,4.74493212836325
18,4,0,0,5.351858133476067,4.343805421853684,10.239995502805316,5.337538079701318
29,4,1,0,5.707110264748875,4.634728988229636,9.90353755128617,5.111987788356544
36,4,0,0,5.081404364984463,4.007333185232471,9.39274525863144,4.812184355372417
21,2,0,0,5.739792912179234,4.51085950651685,9.741027444837728,5.402677381872279
32,4,1,0,5.655991810819852,4.31748811353631,9.729193687429404,5.1298987149230735
30,4,0,0,5.739792912179234,4.51085950651685,10.043292972227004,5.236441962829949
28,4,1,0,5.707110264748875,4.634728988229636,9.90353755128617,5.111987788356544
26,6,1,0,5.707110264748875,4.634728988229636,9.90353755128617,5.111987788356544
19,4,0,0,5.707110264748875,4.51085950651685,9.741027444837728,5.402677381872279
17,6,1,0,4.691347882229144,3.688879454113936,9.04793908261736,4.672828834461906
17,4,1,0,5.081404364984463,4.23410650459726,9.39274525863144,4.795790545596741
31,6,0,1,5.707110264748875,4.406719247264253,9.792611856190192,4.990432586778736
38,2,0,0,5.707110264748875,4.442651256490317,9.792611856190192,4.983606621708336
37,6,1,0,5.564520407322694,4.51085950651685,9.61587214452889,5.068904202220232
23,4,0,0,5.655991810819852,4.394449154672439,9.729193687429404,5.1298987149230735
24,4,1,0,5.442417710521793,4.02535169073515,9.15915233520675,4.795790545596741
20,4,1,0,5.017279836814924,3.9318256327243257,9.15915233520675,4.7535901911063645
21,4,1,0,5.017279836814924,3.9318256327243257,9.15915233520675,4.7535901911063645
19,4,1,0,5.017279836814924,3.970291913552122,9.39274525863144,4.795790545596741
31,4,1,0,5.198497031265826,4.060443010546419,9.179984251961285,4.787491742782046
30,2,0,0,5.198497031265826,4.110873864173311,9.39274525863144,4.875197323201151
34,4,0,0,5.739792912179234,4.51085950651685,10.043292972227004,5.236441962829949
18,4,1,0,4.727387818712341,3.4339872044851463,9.04793908261736,4.691347882229144
37,4,0,0,5.707110264748875,4.634728988229636,9.90353755128617,5.181783550292085
35,4,1,0,5.442417710521793,4.442651256490317,9.15915233520675,4.804021044733257
32,6,1,0,5.707110264748875,4.634728988229636,9.680406499268877,5.068904202220232
36,4,0,0,5.081404364984463,4.007333185232471,9.39274525863144,4.812184355372417
22,4,1,0,5.111987788356544,4.060443010546419,9.179984251961285,4.787491742782046
18,6,0,1,5.303304908059076,3.9318256327243257,9.546884034617923,5.003946305945459
29,4,1,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.812184355372417
21,4,1,0,5.017279836814924,3.970291913552122,9.39274525863144,4.795790545596741
30,6,1,0,5.707110264748875,4.634728988229636,9.680406499268877,5.068904202220232
18,4,1,0,5.081404364984463,4.007333185232471,9.39274525863144,4.795790545596741
38,2,0,0,5.303304908059076,4.290459441148391,10.085850775128716,5.153291594497779
