Default,checkingstatus1,duration,history,purpose,amount,savings,employ,installment,status,others,residence,property,age,otherplans,housing,cards,job,liable,tele,foreign
0,1,6,1,0,1169,1,1,4,0,0,4,1,67,0,0,2,0,1,1,0
1,2,48,0,0,5951,0,0,2,1,0,2,1,22,0,0,1,0,1,0,0
0,0,12,1,6,2096,0,2,2,0,0,3,1,49,0,0,1,1,2,0,0
0,1,42,0,2,7882,0,2,2,0,1,4,2,45,0,2,1,0,2,0,0
1,1,24,2,1,4870,0,0,3,0,0,4,3,53,0,2,2,0,2,0,0
0,0,36,0,6,9055,1,0,2,0,0,4,3,35,0,2,1,1,2,1,0
0,0,24,0,2,2835,3,1,3,0,0,4,2,53,0,0,1,0,1,0,0
0,2,36,0,3,6948,0,0,2,0,0,2,0,35,0,1,1,2,1,1,0
0,0,12,0,0,3059,4,2,2,3,0,4,1,61,0,0,1,1,1,0,0
1,2,30,1,1,5234,0,4,4,2,0,2,0,28,0,0,2,2,1,0,0
1,2,12,0,1,1295,0,3,3,1,0,1,0,25,0,1,1,0,1,0,0
1,1,48,0,4,4308,0,3,3,1,0,4,2,24,0,1,1,0,1,0,0
0,2,12,0,0,1567,0,0,1,1,0,1,0,22,0,0,1,0,1,1,0
1,1,24,1,1,1199,0,1,4,0,0,4,0,60,0,0,2,1,1,0,0
0,1,15,0,1,1403,0,0,2,1,0,4,0,28,0,1,1,0,1,0,0
1,1,24,0,0,1282,2,0,4,1,0,2,0,32,0,0,1,1,1,0,0
0,0,24,1,0,2424,1,1,4,0,0,4,2,53,0,0,2,0,1,0,0
0,1,30,4,4,8072,1,3,2,0,0,3,0,25,1,0,3,0,1,0,0
1,2,24,0,3,12579,0,1,4,1,0,2,3,44,0,2,1,2,1,1,0
0,0,24,0,0,3430,3,1,3,0,0,2,0,31,0,0,1,0,2,1,0
0,0,9,1,1,2134,0,0,4,0,0,4,0,48,0,0,3,0,1,1,0
0,1,6,0,0,2647,3,0,2,0,0,3,1,44,0,1,1,0,2,0,0
0,1,10,1,1,2241,0,3,1,0,0,3,1,48,0,1,2,1,2,0,1
0,2,12,1,3,1804,2,3,3,0,0,4,2,44,0,0,1,0,1,0,0
0,0,10,1,2,2069,1,0,2,2,0,1,0,26,0,0,2,0,1,0,1
0,1,6,0,2,1374,0,0,1,0,0,2,1,36,1,0,1,1,1,1,0
0,0,6,4,0,426,0,1,4,2,0,4,0,39,0,0,1,1,1,0,0
0,3,12,3,0,409,4,0,3,1,0,3,1,42,0,1,2,0,1,0,0
0,2,7,0,0,2415,0,0,3,0,1,2,1,34,0,0,1,0,1,0,0
1,1,60,2,4,6836,0,1,3,0,0,4,3,63,0,0,2,0,1,1,0
0,2,18,0,4,1913,4,3,3,2,0,3,1,36,1,0,1,0,1,1,0
0,1,24,0,2,4020,0,0,2,0,0,2,0,27,2,0,1,0,1,0,0
0,2,18,0,1,5866,2,0,2,0,0,2,0,30,0,0,2,0,1,1,0
0,0,12,1,4,1264,1,1,4,0,0,4,3,57,0,1,1,1,1,0,0
0,3,12,0,2,1474,0,3,4,1,0,1,2,33,1,0,1,2,1,1,0
1,2,45,1,0,4746,0,3,4,0,0,2,2,25,0,0,2,1,1,0,0
0,0,48,1,6,6110,0,0,1,0,0,3,3,31,1,2,1,0,1,1,0
1,3,18,0,0,2100,0,0,4,0,2,2,1,37,2,0,1,0,1,0,0
0,3,10,0,8,1225,0,0,2,0,0,2,0,37,0,0,1,0,1,1,0
0,2,9,0,0,458,0,0,4,0,0,3,1,24,0,0,1,0,1,0,0
0,0,30,0,0,2333,3,1,4,0,0,2,0,30,1,0,1,2,1,0,0
0,2,12,0,0,1158,3,0,3,3,0,1,0,26,0,0,1,0,1,1,0
0,2,18,2,7,6204,0,0,2,0,0,4,1,44,0,0,1,1,2,1,0
0,1,30,1,3,6187,2,2,1,2,0,4,0,24,0,1,2,0,1,0,0
1,1,48,1,3,6143,0,1,4,1,0,4,3,58,2,2,2,1,1,0,0
0,0,11,1,1,1393,0,3,4,1,0,4,0,35,0,0,2,2,1,0,0
0,0,36,0,0,2299,3,1,4,0,0,4,0,39,0,0,1,0,1,0,0
0,1,6,0,3,1352,3,4,1,1,0,2,2,23,0,1,1,3,1,1,0
0,0,11,1,1,7228,0,0,1,0,0,4,2,39,0,0,2,1,1,0,0
0,0,12,0,0,2073,2,0,4,1,2,2,1,28,0,0,1,0,1,0,0
0,2,24,2,2,2333,1,3,4,0,0,2,2,29,1,0,1,1,1,0,0
0,2,27,2,3,5965,0,1,1,0,0,2,0,30,0,0,2,2,1,1,0
0,0,12,0,0,1262,0,0,3,0,0,2,0,25,0,0,1,0,1,0,0
0,0,18,0,3,3378,1,0,2,0,0,1,2,31,0,0,1,0,1,1,0
1,2,36,2,1,2225,0,1,4,0,0,4,3,57,1,2,2,0,1,1,0
0,0,6,3,1,783,1,0,1,0,1,2,1,26,2,0,1,1,2,0,0
1,2,12,0,0,6468,1,4,2,0,0,1,3,52,0,0,1,2,1,1,0
0,0,36,1,0,9566,0,0,2,1,0,2,0,31,2,0,2,0,1,0,0
0,3,18,0,1,1961,0,1,3,1,0,2,0,23,0,0,1,2,1,0,0
1,1,36,1,2,6229,0,3,4,1,2,4,3,23,0,1,2,1,1,1,0
0,2,9,0,4,1391,0,0,2,2,0,1,1,27,1,0,1,0,1,1,0
0,2,15,1,0,1537,1,1,4,0,1,4,1,50,0,0,2,0,1,1,0
1,2,36,4,4,1953,0,1,4,0,0,4,3,61,0,2,1,2,1,1,0
1,2,48,4,4,14421,0,0,2,0,0,2,0,25,0,0,1,0,1,1,0
0,0,24,0,0,3181,0,3,4,1,0,4,2,26,0,0,1,0,1,1,0
0,0,27,0,7,5190,1,1,4,0,0,4,2,48,0,0,4,0,2,1,0
0,0,12,0,0,2171,0,3,2,1,0,2,0,29,1,0,1,0,1,0,0
0,2,12,0,1,1007,4,0,4,2,0,1,1,22,0,0,1,0,1,0,0
1,0,36,0,6,1819,0,0,4,0,0,4,3,37,2,2,1,0,1,1,0
0,0,36,0,0,2394,1,0,4,1,0,4,0,25,0,0,1,0,1,0,0
0,0,36,0,3,8133,0,0,1,1,0,2,2,30,1,0,1,0,1,0,0
0,0,7,1,0,730,1,1,4,0,0,2,2,46,0,1,2,1,1,1,0
0,1,8,1,9,1164,0,1,3,0,0,4,3,51,1,2,2,2,2,1,0
0,2,42,1,4,5954,0,2,2,1,0,1,1,41,1,0,2,1,1,0,0
1,1,36,0,6,1977,1,1,4,0,0,4,3,40,0,0,1,2,1,1,0
0,1,12,1,3,1526,0,1,4,0,0,4,3,66,0,2,2,2,1,0,0
1,1,42,0,0,3965,0,3,4,0,0,3,0,34,0,0,1,0,1,0,0
0,2,11,2,0,4771,0,2,2,0,0,4,2,51,0,0,1,0,1,0,0
0,0,54,4,3,9436,1,0,2,0,0,2,2,39,0,0,1,1,2,0,0
0,2,30,0,2,3832,0,3,2,2,0,1,2,22,0,0,1,0,1,0,0
1,0,24,0,0,5943,1,3,1,1,0,1,0,44,0,0,2,0,1,1,0
0,0,15,0,0,1213,3,1,4,0,0,3,2,47,2,0,1,0,1,1,0
0,0,18,0,4,1568,2,0,3,1,0,4,2,24,0,1,1,1,1,0,0
0,1,24,0,9,1755,0,1,4,1,1,4,1,58,0,0,1,1,1,1,0
0,1,10,0,0,2315,0,1,3,0,0,4,1,52,0,0,1,1,1,0,0
0,0,12,1,4,1412,0,0,4,1,1,2,1,29,0,0,2,2,1,1,0
0,2,18,1,2,1295,0,3,4,1,0,1,2,27,0,0,2,0,1,0,0
1,2,36,0,6,12612,2,0,1,0,0,4,3,47,0,2,1,0,2,1,0
0,1,18,0,1,2249,2,2,4,0,0,3,0,30,0,0,1,2,2,1,0
1,1,12,4,7,1108,0,2,4,0,0,3,1,28,0,0,2,0,1,0,0
0,0,12,1,0,618,0,1,4,0,0,4,1,56,0,0,1,0,1,0,0
0,1,12,1,3,1409,0,1,4,0,0,3,1,54,0,0,1,0,1,0,0
1,0,12,1,0,797,1,1,4,1,0,3,2,33,1,0,1,1,2,0,0
0,3,24,1,2,3617,1,1,4,0,2,4,3,20,0,1,2,0,1,0,0
0,2,12,0,1,1318,4,1,4,0,0,4,1,54,0,0,1,0,1,1,0
1,2,54,4,4,15945,0,3,3,0,0,4,3,58,0,1,1,0,1,1,0
0,0,12,1,6,2012,1,2,4,1,0,2,0,61,0,0,1,0,1,0,0
0,2,18,0,4,2622,2,0,4,0,0,4,0,34,0,0,1,0,1,0,0
0,2,36,1,0,2337,0,1,4,0,0,4,1,36,0,0,1,0,1,0,0
0,2,20,2,3,7057,1,2,3,0,0,4,2,36,1,1,2,2,2,1,0
0,0,24,0,1,1469,2,1,4,2,0,4,1,41,0,1,1,1,1,0,0
0,2,36,0,0,2323,0,2,4,0,0,4,0,24,0,1,1,0,1,0,0
0,0,6,2,0,932,0,0,3,1,0,2,1,24,0,0,1,0,1,0,0
0,2,9,1,2,1919,0,2,4,0,0,3,0,35,0,1,1,0,1,1,0
0,0,12,0,3,2445,1,3,2,2,0,4,0,26,0,1,1,0,1,1,0
1,2,24,1,9,11938,0,0,2,0,2,3,0,39,0,0,2,2,2,1,0
1,0,18,3,1,6458,0,1,2,0,0,4,3,39,1,0,2,2,2,1,0
0,2,12,0,1,6078,0,2,2,0,0,2,0,32,0,0,1,0,1,0,0
0,1,24,0,2,7721,1,3,1,1,0,2,2,30,0,0,1,0,1,1,1
0,2,14,0,4,1410,3,1,1,2,0,2,1,35,0,0,1,0,1,1,0
0,2,6,2,4,1449,2,1,1,3,0,2,0,31,1,0,2,0,2,0,0
0,3,15,0,6,392,0,3,4,1,0,4,2,23,0,1,1,0,1,1,0
0,2,18,0,1,6260,0,2,3,0,0,3,1,28,0,1,1,1,1,0,0
1,0,36,1,1,7855,0,0,4,1,0,2,1,25,2,0,2,0,1,1,0
0,1,12,0,0,1680,3,1,3,2,0,1,1,35,0,0,1,0,1,0,0
0,0,48,1,0,3578,1,1,4,0,0,1,1,47,0,0,1,0,1,1,0
1,1,42,0,0,7174,1,2,4,1,0,3,0,30,0,0,1,2,1,1,0
0,1,10,1,2,2132,1,3,2,1,2,3,1,27,0,1,2,0,1,0,1
1,1,33,1,2,4281,3,0,1,1,0,4,0,23,0,0,2,0,1,0,0
0,2,12,1,1,2366,3,2,3,3,0,3,0,36,0,0,1,2,1,1,0
1,1,21,0,0,1835,0,0,3,1,0,2,1,25,0,0,2,0,1,1,0
0,0,24,1,3,3868,0,1,4,1,0,2,0,41,0,1,2,2,1,1,0
0,0,12,0,2,1768,0,0,3,0,0,2,1,24,0,1,1,1,1,0,0
0,3,10,1,1,781,0,1,4,0,0,4,3,63,0,2,2,0,1,1,0
1,2,18,0,2,1924,1,3,4,1,0,3,1,27,0,1,1,0,1,0,0
0,1,12,1,1,2121,0,0,4,0,0,2,2,30,0,0,2,0,1,0,0
0,1,12,0,0,701,0,0,4,2,0,2,1,40,0,0,1,1,1,0,0
1,2,12,0,7,639,0,0,4,0,0,2,0,30,0,0,1,0,1,0,0
0,2,12,1,3,1860,0,4,4,0,0,2,0,34,0,0,2,2,1,1,0
1,1,12,1,1,3499,0,0,3,1,2,2,1,29,0,0,2,0,1,0,0
0,2,48,0,1,8487,1,2,1,1,0,2,0,24,0,0,1,0,1,0,0
1,1,36,2,6,6887,0,0,4,0,0,3,2,29,2,0,1,0,1,1,0
0,0,15,0,2,2708,0,3,2,0,0,3,2,27,1,0,2,1,1,0,0
0,0,18,0,2,1984,0,0,4,0,0,4,3,47,1,2,2,0,1,0,0
0,0,60,0,0,10144,2,2,2,1,0,4,1,21,0,0,1,0,1,1,0
0,0,12,1,0,1240,1,1,4,1,0,2,1,38,0,0,2,0,1,1,0
0,0,27,2,3,8613,4,0,2,0,0,2,0,27,0,0,2,0,1,0,0
1,2,12,0,0,766,3,0,4,0,0,3,1,66,0,0,1,1,1,0,0
0,2,15,1,0,2728,1,2,4,0,1,2,1,35,1,0,3,0,1,1,0
0,3,12,0,0,1881,0,0,2,1,0,2,0,44,0,1,1,1,1,1,0
0,3,6,0,1,709,4,3,2,2,0,2,1,27,0,0,1,3,1,0,1
0,2,36,0,0,4795,0,3,4,1,0,1,3,30,0,0,1,2,1,1,0
0,1,27,0,0,3416,0,0,3,0,0,2,0,27,0,0,1,2,1,0,0
1,1,18,0,2,2462,0,0,2,0,0,2,0,22,0,0,1,0,1,0,0
0,0,21,1,2,2288,0,3,4,1,0,4,2,23,0,0,1,0,1,1,0
0,2,48,3,4,3566,2,2,4,0,0,2,0,30,0,0,1,0,1,0,0
0,1,6,1,1,860,0,1,1,1,0,4,3,39,0,0,2,0,1,1,0
0,0,12,1,1,682,2,2,4,1,0,3,0,51,0,0,2,0,1,1,0
0,1,36,1,2,5371,0,0,3,0,1,2,2,28,0,0,2,0,1,0,0
0,0,18,1,0,1582,4,1,4,0,0,4,0,46,0,0,2,0,1,0,0
0,0,6,0,0,1346,2,1,2,0,0,4,3,42,1,2,1,0,2,1,0
0,0,10,0,0,1924,0,0,1,0,0,4,2,38,0,0,1,0,1,1,1
0,3,36,0,0,5848,0,0,4,0,0,1,0,24,0,0,1,0,1,0,0
0,2,24,1,3,7758,4,1,2,1,0,4,3,29,0,1,1,0,1,0,0
0,2,24,2,4,6967,2,2,4,0,0,4,0,36,0,1,1,2,1,1,0
1,1,12,0,2,1282,0,0,2,1,0,4,0,20,0,1,1,0,1,0,0
0,1,9,1,7,1288,2,1,3,0,1,4,1,48,0,0,2,0,2,0,1
0,1,12,3,10,339,0,1,4,2,0,1,0,45,1,0,1,1,1,0,0
0,2,24,0,1,3512,2,2,2,0,0,3,0,38,1,0,2,0,1,1,0
0,0,6,1,0,1898,1,0,1,0,0,2,1,34,0,0,2,1,2,0,0
0,0,24,1,0,2872,2,1,3,0,0,4,1,36,0,0,1,0,2,1,0
0,0,18,1,1,1055,0,3,4,1,0,1,2,30,0,0,2,0,1,0,0
0,0,15,0,8,1262,3,2,4,0,0,3,2,36,0,0,2,0,1,1,0
0,2,10,0,1,7308,0,4,2,0,0,4,3,70,1,2,1,2,1,1,0
0,0,36,0,1,909,3,1,4,0,0,4,2,36,0,0,1,0,1,0,0
0,0,6,0,2,2978,3,0,1,0,0,2,0,32,0,0,1,0,1,1,0
1,1,18,0,2,1131,0,4,4,1,0,2,0,33,0,0,1,0,1,0,0
0,2,11,0,2,1577,4,3,4,1,0,1,1,20,0,0,1,0,1,0,0
0,0,24,0,2,3972,0,2,2,1,0,4,2,25,0,1,1,0,1,1,0
1,2,24,1,4,1935,0,1,4,3,0,4,1,31,0,0,2,0,1,1,0
1,1,15,4,1,950,0,1,4,0,0,3,0,33,0,1,2,0,2,0,0
0,0,12,0,2,763,0,0,4,1,0,1,1,26,0,0,1,0,1,1,0
1,2,24,2,2,2064,0,4,3,1,0,2,2,34,0,0,1,2,1,1,0
0,2,8,0,0,1414,0,0,4,0,1,2,1,33,0,0,1,0,1,0,1
1,1,21,2,6,3414,0,3,2,0,0,1,2,26,0,0,2,0,1,0,0
1,0,30,3,3,7485,1,4,4,1,0,1,1,53,1,0,1,2,1,1,0
0,1,12,0,2,2577,0,0,2,3,0,1,0,42,0,0,1,0,1,0,0
0,1,6,1,0,338,3,1,4,0,0,4,0,52,0,0,2,0,1,0,0
0,0,12,0,0,1963,0,2,4,0,0,2,0,31,0,1,2,2,2,1,0
0,1,21,1,1,571,0,1,4,0,0,4,1,65,0,0,2,0,1,0,0
1,0,36,2,4,9572,0,3,1,3,0,1,0,28,0,0,2,0,1,0,0
1,2,36,2,4,4455,0,0,2,3,0,2,1,30,2,0,2,2,1,1,0
1,1,21,3,1,1647,1,0,4,0,0,2,2,40,0,0,2,1,2,0,0
0,0,24,1,2,3777,4,0,4,0,0,4,1,50,0,0,1,0,1,1,0
1,2,18,1,1,884,0,1,4,0,0,4,0,36,1,0,1,0,2,1,0
0,0,15,1,0,1360,0,0,4,0,0,2,2,31,0,0,2,0,1,0,0
1,2,9,3,3,5129,0,1,2,1,0,4,3,74,1,2,1,2,2,1,0
0,2,16,1,1,1175,0,4,2,0,0,3,0,68,0,2,3,3,1,1,0
1,1,12,0,0,674,2,2,4,2,0,1,2,20,0,0,1,0,1,0,0
0,2,18,4,2,3244,0,0,1,1,0,4,0,33,1,0,2,0,1,1,0
1,0,24,0,4,4591,4,0,2,0,0,3,2,54,0,0,3,2,1,1,0
1,2,48,4,4,3844,2,2,4,0,0,4,3,34,0,2,1,1,2,0,0
1,2,27,0,4,3915,0,0,4,0,0,2,0,36,0,0,1,0,2,1,0
0,0,6,0,0,2108,0,2,2,2,0,2,1,29,0,1,1,0,1,0,0
1,2,45,0,0,3031,2,0,4,0,1,4,2,21,0,1,1,0,1,0,0
1,2,9,1,6,1501,0,1,2,1,0,3,0,34,0,0,2,2,1,1,0
0,0,6,1,0,1382,0,0,1,1,0,1,0,28,0,0,2,0,1,1,0
1,2,12,0,2,951,2,3,4,1,0,4,0,27,1,1,4,0,1,0,0
0,2,24,0,3,2760,1,1,4,0,0,4,3,36,1,2,1,0,1,1,0
1,2,18,2,2,4297,0,1,4,3,0,3,3,40,0,0,1,2,1,1,0
0,0,9,1,6,936,3,1,4,0,0,2,0,52,0,0,2,0,1,1,0
0,1,12,0,1,1168,0,0,4,2,0,3,1,27,0,0,1,1,1,0,0
0,0,27,2,4,5117,0,2,3,0,0,4,0,26,0,0,2,0,1,0,0
1,1,12,0,10,902,0,2,4,2,0,4,2,21,0,1,1,0,1,0,0
0,0,12,1,1,1495,0,1,4,0,0,1,1,38,0,0,2,1,2,0,0
0,1,30,1,3,10623,0,1,3,0,0,4,3,38,0,2,3,2,2,1,0
0,0,12,1,2,1935,0,1,4,0,0,4,1,43,0,0,3,0,1,1,0
0,2,12,1,8,1424,0,2,4,0,0,3,2,26,0,0,1,0,1,0,0
0,1,24,0,4,6568,0,0,2,2,0,2,0,21,2,0,1,1,1,0,0
0,0,12,0,3,1413,4,2,3,0,0,2,2,55,0,0,1,0,1,0,1
0,0,9,1,0,3074,1,0,1,0,0,2,1,33,0,0,2,0,2,0,0
0,0,36,0,0,3835,1,1,2,1,0,4,1,45,0,0,1,1,1,1,0
1,1,27,4,4,5293,0,4,2,0,0,4,2,50,2,0,2,0,1,1,0
1,3,30,2,4,1908,0,1,4,0,0,4,1,66,0,0,1,2,1,1,0
0,0,36,1,0,3342,1,1,4,0,0,2,0,51,0,0,1,0,1,1,0
0,2,6,1,10,932,1,2,1,1,0,3,2,39,0,0,2,1,1,0,0
0,1,18,4,4,3104,0,2,3,0,0,1,2,31,1,0,1,0,1,1,0
0,3,36,0,0,3913,0,0,2,0,0,2,1,23,0,0,1,0,1,1,0
0,1,24,0,2,3021,0,0,2,3,0,2,1,24,0,1,1,1,1,0,0
0,0,10,0,1,1364,0,0,2,1,0,4,0,64,0,0,1,0,1,1,0
0,2,12,0,0,625,0,3,4,2,1,1,1,26,1,0,1,1,1,0,0
0,1,12,0,6,1200,1,0,4,1,0,4,2,23,1,1,1,0,1,1,0
0,0,12,0,0,707,0,0,4,0,0,2,1,30,1,0,2,0,1,0,0
0,0,24,2,4,2978,1,0,4,0,0,4,1,32,0,0,2,0,2,1,0
0,0,15,0,3,4657,0,0,3,0,0,2,0,30,0,0,1,0,1,1,0
0,0,36,4,7,2613,0,0,4,0,0,2,0,27,0,0,2,0,1,0,0
1,2,48,0,0,10961,4,2,1,0,2,2,3,27,1,0,2,0,1,1,0
1,1,12,0,2,7865,0,1,4,0,0,4,3,53,0,2,1,2,1,1,0
1,0,9,0,0,1478,0,2,4,0,0,2,0,22,0,0,1,0,1,0,0
0,1,24,0,2,3149,0,3,4,0,0,1,3,22,1,2,1,0,1,0,0
1,3,36,0,0,4210,0,0,4,0,0,2,0,26,0,0,1,0,1,0,0
0,0,9,0,1,2507,3,1,2,0,0,4,3,51,0,2,1,1,1,0,0
0,0,12,0,0,2141,2,2,3,0,0,1,3,35,0,0,1,0,1,0,0
0,2,18,0,0,866,0,0,4,2,1,2,1,25,0,0,1,1,1,0,0
0,0,4,1,0,1544,0,2,2,0,0,1,1,42,0,0,3,1,2,0,0
1,1,24,0,0,1823,0,4,4,0,0,2,0,30,2,0,1,2,2,0,0
1,2,6,0,1,14555,1,4,1,0,0,2,2,23,0,0,1,3,1,1,0
1,2,21,0,4,2767,2,1,4,3,0,2,0,61,1,1,2,1,1,0,0
0,0,12,1,0,1291,0,0,4,1,0,2,2,35,0,0,2,0,1,0,0
0,1,30,0,0,2522,0,1,1,0,1,3,2,39,0,0,1,0,2,0,0
1,1,24,0,1,915,1,1,4,1,0,2,0,29,1,0,1,0,1,0,0
0,0,6,0,0,1595,0,2,3,0,0,2,2,51,0,0,1,0,2,0,0
1,1,48,4,3,4605,0,1,3,0,0,4,3,24,0,2,2,0,2,0,0
0,0,12,1,4,1185,0,0,3,1,0,2,1,27,0,0,2,0,1,0,0
0,0,12,3,10,3447,3,0,4,1,0,3,1,35,0,0,1,1,2,0,0
0,0,24,0,4,1258,0,2,4,0,0,1,1,25,0,0,1,0,1,1,0
0,0,12,1,0,717,0,1,4,0,0,4,1,52,0,0,3,0,1,0,0
